"temperature","humidity","pressure","AirQuality","label"
"22.75088787","90.6948972","955.521466996","95.437855","apple"
"21.37784654","92.72043743","956.573241391","96.14707","apple"
"22.45696744","94.76285385","954.605934087","94.8407725","apple"
"23.7959131","93.27392415","955.65847387","92.6676589","apple"
"22.63946441","90.845845","955.697945522","96.3405879","apple"
"23.67287749","90.4935574","955.70848722","94.2298028","apple"
"22.48403042","93.4087246","945.77279946","95.5473627","apple"
"22.02775403","92.96129462","945.790993052","91.134976","apple"
"23.76881552","90.59810302","955.7983508","92.2648546","apple"
"23.2523087","94.54128292","955.86748396","95.3558408","apple"
"22.84852833","94.383083","956.079497202","90.5977843","apple"
"23.8494014","94.34814995","956.133220586","94.058495","apple"
"23.34386401","91.47684705","956.2888384","94.4267991","apple"
"23.894265","92.79630809","946.38380271","96.83792","apple"
"25.14748006","83.3468873","1005.565028635","98.66679427","banana"
"26.3985515","81.36028902","1005.57140869","98.8752001","banana"
"25.56703012","75.94067692","1005.590236025","92.786777","banana"
"29.2440638","77.320786","1005.707488987","90.66727868","banana"
"28.65003945","82.68752542","1005.8438381","98.75084366","banana"
"27.794597","78.8086068","1005.91505509","99.72430835","banana"
"25.9373086","78.89864446","1005.915568968","98.2747528","banana"
"27.50527651","80.79783998","1006.156373499","95.0776992","banana"
"26.2909246","82.34429458","1006.31377204","92.0700033","banana"
"29.9403455","79.7588629","1006.324270089","92.07835761","banana"
"29.073732","76.50045221","1006.376756633","90.892639","banana"
"28.05484146","78.04602887","1006.458714879","96.395779","banana"
"27.66752761","79.68542782","1006.490074429","96.66464","banana"
"25.1368657","84.88394407","1006.75152442","91.46442491","banana"
"25.5620273","77.38229006","1006.8928009","93.924783","banana"
"28.973877","98.0986943","1005.50158009","83.909521","coconut"
"27.5582802","99.9887601","1005.735364307","74.6256481","coconut"
"28.94099669","93.0089012","1005.764615485","71.7723087","coconut"
"25.79490531","93.8415068","1005.779032666","82.4238712","coconut"
"29.5654989","91.40896307","1005.82638864","84.8315729","coconut"
"26.45488737","93.45042636","1005.901495544","79.2220255","coconut"
"26.44600063","98.29937782","1006.008386283","81.225888","coconut"
"26.1482144","93.28415295","1006.07897347","75.485025","coconut"
"28.2974764","95.4922824","1006.141502001","82.4482352","coconut"
"26.13958446","96.38580769","1006.33879773","81.3387935","coconut"
"26.007585","94.7999848","1006.3395715","83.540094","coconut"
"29.69952329","95.2864392","1006.342463714","78.3003692","coconut"
"26.984734","99.8467838","1006.38552973","85.6323656","coconut"
"27.1586142","91.48889469","1006.41384638","84.982225","coconut"
"27.8932822","97.4849555","1006.465906333","84.062861","coconut"
"25.234661","57.5381469","926.043485685","84.226737","coffee"
"27.649694","51.9544023","926.35823783","86.8392822","coffee"
"23.44372334","60.39523266","926.4232955","86.2103248","coffee"
"24.12832546","56.896663","936.43899748","77.275788","coffee"
"27.042487","57.27927475","936.5085797","85.687289","coffee"
"25.7787724","62.26244581","936.647765997","90.089649","coffee"
"23.9438731","68.00096043","941.703270635","81.8944624","coffee"
"23.490707","52.26994674","930.86972076","79.3670753","coffee"
